representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
TOP2A_HUMAN;;DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3;1531;174275.75;23.06;28;672052;678415;752508;587741;616741;562757
GLSK_HUMAN;;Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1;669;73413.904;23.02;10;265596;276862;259706;297552;254365;265708
AMPN_ECOLI;;Aminopeptidase N OS=Escherichia coli (strain K12) OX=83333 GN=pepN PE=1 SV=2;870;98856.735;22.99;13;101475;102193;136382;620847;561832;558787
RL19_HUMAN;;60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1;196;23451.247;22.96;5;800339;720445;718707;791930;823242;986627
MCCB_HUMAN;;Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1;563;61294.408;22.91;9;158170;148334;149731;134675;132966;144047
NELFE_HUMAN;;Negative elongation factor E OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=3;380;43213.739;22.89;5;90874;95910;103097;97699;96007;107760
VASP_HUMAN;;Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3;380;39805.089;22.89;6;147432;172826;159898;157382;162364;162321
RFC4_HUMAN;;Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2;363;39656.887;22.87;5;39527;76968;66162;39019;86892;84310
ATD3C_HUMAN;;ATPase family AAA domain-containing protein 3C OS=Homo sapiens OX=9606 GN=ATAD3C PE=2 SV=2;411;46350.081;22.87;10;13201;13583;11925;7201;7037;0
ROB_ECOLI;;Right origin-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=rob PE=1 SV=1;289;33123.852;22.84;4;0;2668;7109;59439;57065;61255
PSS_ECOLI;;CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pssA PE=1 SV=2;451;52768.773;22.84;6;23786;20185;26529;134281;139371;128869
PUM3_HUMAN;;Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3;648;73538.28;22.84;11;205283;232677;239911;210955;212880;217748
AP2B1_HUMAN;;AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1;937;104486.042;22.84;17;311367;319199;294915;211021;183734;203005
C8Z821_YEAS8;;Ade5,7p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_0353g PE=3 SV=1;802;86042.192;22.82;12;359217;388415;343136;185837;175379;162927
IF2B_HUMAN;;Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2;333;38364.37;22.82;6;280699;292068;259997;272981;320395;315976
MAP2_HUMAN;;Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1;478;52858.142;22.8;7;115142;129677;98729;119389;118306;115258
RED_HUMAN;;Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3;557;65561.768;22.8;8;186411;213359;214870;198395;174025;204466
ECHD1_HUMAN;;Ethylmalonyl-CoA decarboxylase OS=Homo sapiens OX=9606 GN=ECHDC1 PE=1 SV=2;307;33676.523;22.8;4;67489;65808;266685;58882;72133;65740
ECHB_HUMAN;;Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3;474;51261.522;22.78;9;272435;275183;220849;220062;259665;243305
YDHR_ECOLI;;Putative monooxygenase YdhR OS=Escherichia coli (strain K12) OX=83333 GN=ydhR PE=1 SV=1;101;11280.784;22.77;2;25706;29406;26037;116259;120248;118889
CISY_HUMAN;;Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2;466;51679.514;22.75;10;489267;533067;465547;453572;500305;437840
C8ZB52_YEAS8;;Erg20p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J11_0694g PE=3 SV=2;352;40457.664;22.73;6;280944;247658;263205;73010;65208;87744
PEPB_ECOLI;;Peptidase B OS=Escherichia coli (strain K12) OX=83333 GN=pepB PE=1 SV=2;427;46151.272;22.72;6;39203;25722;38119;291023;335601;318651
AN32B_HUMAN;;Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1;251;28770.309;22.71;7;546927;673379;639090;554684;573393;584021
D3UF74_YEAS8;;Sui2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J11_2663g PE=4 SV=1;304;34695.814;22.7;6;238684;249284;247262;53819;133832;54276
C8ZEK3_YEAS8;;Lactoylglutathione lyase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_1530g PE=3 SV=1;326;37239.364;22.7;7;367391;381243;454665;215713;217882;218744
P5CR_ECOLI;;Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) OX=83333 GN=proC PE=1 SV=1;269;28126.494;22.68;4;8958;8262;8635;83319;79330;101267
C8ZFI5_YEAS8;;Proteasome endopeptidase complex OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_5336g PE=3 SV=1;234;25588.193;22.65;5;76721;78756;76405;17487;37141;26998
YHHA_ECOLI;;Uncharacterized protein YhhA OS=Escherichia coli (strain K12) OX=83333 GN=yhhA PE=1 SV=1;146;16613.403;22.6;2;9141;8944;9380;44932;45986;51774
NCPR_HUMAN;;NADPH--cytochrome P450 reductase OS=Homo sapiens OX=9606 GN=POR PE=1 SV=2;677;76641.251;22.6;10;202635;211443;218627;186867;206421;211883
DKC1_HUMAN;;H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3;514;57637.785;22.57;9;209304;209683;210889;210929;208983;186910
NNRE_HUMAN;;NAD(P)H-hydrate epimerase OS=Homo sapiens OX=9606 GN=NAXE PE=1 SV=2;288;31654.245;22.57;4;105367;111583;95719;81182;101943;92094
AP2M1_HUMAN;;AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2;435;49623.025;22.53;9;237345;251820;232925;204152;214312;219164
PTMA_HUMAN;;Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2;111;12195.969;22.52;3;578291;472578;544490;528086;553474;557566
DLHH_ECOLI;;Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) OX=83333 GN=ysgA PE=3 SV=3;271;29406.798;22.51;4;32206;35531;31518;216677;230210;222988
SRP68_HUMAN;;Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2;627;70685.561;22.49;9;326685;317536;285732;297484;276298;376361
GPKOW_HUMAN;;G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2;476;52196.564;22.48;7;70021;68601;68050;64674;67297;68139
GCSH_ECOLI;;Glycine cleavage system H protein OS=Escherichia coli (strain K12) OX=83333 GN=gcvH PE=1 SV=2;129;13802.649;22.48;2;47476;49997;44680;222636;228156;226381
TPR_HUMAN;;Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3;2363;267131.113;22.47;42;1200720;1203368;1261327;1302002;1256376;1307361
PRAF2_HUMAN;;PRA1 family protein 2 OS=Homo sapiens OX=9606 GN=PRAF2 PE=1 SV=1;178;19245.521;22.47;3;77181;64665;69314;61187;73667;70292
D3UF17_YEAS8;;EC1118_1B15_4522p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_4522g PE=4 SV=1;138;15494.83;22.46;2;27229;25479;25677;18345;14854;13513
D3UEK2_YEAS8;;Cmd1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_2553g PE=4 SV=1;147;16124.871;22.45;3;132230;147154;151076;50790;48200;45134
C8Z7A8_YEAS8;;Met6p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_2201g PE=3 SV=1;767;85806.65;22.43;12;546554;620081;541897;307063;277544;269839
SFXN3_HUMAN;;Sideroflexin-3 OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=3;321;35480.523;22.43;5;39270;74569;77039;80770;72266;77523
CAPR1_HUMAN;;Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2;709;78318.024;22.43;11;656568;698120;667348;554823;653819;592456
TESB_ECOLI;;Acyl-CoA thioesterase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tesB PE=1 SV=2;286;31946.369;22.38;4;9105;13463;9539;67481;63620;63707
BAP31_HUMAN;;B-cell receptor-associated protein 31 OS=Homo sapiens OX=9606 GN=BCAP31 PE=1 SV=3;246;27974.012;22.36;7;187455;229492;245859;245770;257356;182362
C8Z752_YEAS8;;Isd11p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_1563g PE=3 SV=1;94;11244.827;22.34;3;17306;16191;17391;10450;12957;12103
DNJA2_HUMAN;;DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1;412;45716.591;22.33;7;187469;184120;183365;172074;164270;192632
YPHF_ECOLI;;ABC transporter periplasmic-binding protein YphF OS=Escherichia coli (strain K12) OX=83333 GN=yphF PE=1 SV=1;327;35036.25;22.32;4;13945;13288;13440;83185;90247;91562
MTA2_HUMAN;;Metastasis-associated protein MTA2 OS=Homo sapiens OX=9606 GN=MTA2 PE=1 SV=1;668;74975.737;22.31;10;311352;315970;307284;289424;287761;292197
NUSB_ECOLI;;Transcription antitermination protein NusB OS=Escherichia coli (strain K12) OX=83333 GN=nusB PE=1 SV=1;139;15679.285;22.3;2;11410;12513;10976;64608;56494;61020
SMC1A_HUMAN;;Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2;1233;143144.117;22.3;22;462463;474567;487560;491877;476073;505472
PESC_HUMAN;;Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;588;67959.999;22.28;11;259451;219907;245964;265474;289708;280362
TRIP6_HUMAN;;Thyroid receptor-interacting protein 6 OS=Homo sapiens OX=9606 GN=TRIP6 PE=1 SV=3;476;50255.462;22.27;6;175963;162391;160228;158679;150269;151617
RM28_HUMAN;;39S ribosomal protein L28, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL28 PE=1 SV=4;256;30137.887;22.27;4;36559;17358;16818;22820;25596;23416
GCSP_ECOLI;;Glycine dehydrogenase (decarboxylating) OS=Escherichia coli (strain K12) OX=83333 GN=gcvP PE=1 SV=3;957;104309.755;22.26;13;302494;251604;251793;792497;818328;791884
ACSL3_HUMAN;;Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3;720;80368.296;22.22;10;542761;595190;564160;436359;430188;422846
HMGN2_HUMAN;;Non-histone chromosomal protein HMG-17 OS=Homo sapiens OX=9606 GN=HMGN2 PE=1 SV=3;90;9387.057;22.22;2;184649;13467;110040;17155;13924;163090
GT251_HUMAN;;Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1;622;71590.483;22.19;14;245340;250648;235812;309491;281196;290296
CNOX_ECOLI;;Chaperedoxin OS=Escherichia coli (strain K12) OX=83333 GN=cnoX PE=1 SV=2;284;31771.337;22.18;5;27450;27412;26382;112088;138347;131439
FLIY_ECOLI;;L-cystine-binding protein FliY OS=Escherichia coli (strain K12) OX=83333 GN=fliY PE=1 SV=1;266;29021.214;22.18;5;40521;43680;42978;173548;176033;178314
PYRG1_HUMAN;;CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2;591;66647.99;22.17;9;285095;290204;275500;287535;299168;246180
GREA_ECOLI;;Transcription elongation factor GreA OS=Escherichia coli (strain K12) OX=83333 GN=greA PE=1 SV=1;158;17630.077;22.15;2;0;12276;0;96835;89133;89557
SYUA_HUMAN;;Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1;140;14451.219;22.14;3;163129;185168;180607;69008;61997;70372
NFSB_ECOLI;;Oxygen-insensitive NAD(P)H nitroreductase OS=Escherichia coli (strain K12) OX=83333 GN=nfsB PE=1 SV=1;217;23890.216;22.12;5;12346;6123;5787;115284;121857;123262
TOLB_ECOLI;;Tol-Pal system protein TolB OS=Escherichia coli (strain K12) OX=83333 GN=tolB PE=1 SV=1;430;45927.189;22.09;5;89059;90779;98431;465646;442552;472410
PYC_HUMAN;;Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2;1178;129551.411;22.07;17;455109;436436;452343;586124;590227;574723
OMPC_ECOLI;;Outer membrane protein C OS=Escherichia coli (strain K12) OX=83333 GN=ompC PE=1 SV=1;367;40343.375;22.07;5;8842;12622;12766;114279;115528;124818
ACCC_ECOLI;;Biotin carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=accC PE=1 SV=2;449;49289.314;22.05;10;134095;135902;133396;545581;532271;537275
BID_HUMAN;;BH3-interacting domain death agonist OS=Homo sapiens OX=9606 GN=BID PE=1 SV=1;195;21981.046;22.05;2;33203;35160;35048;29600;27057;30568
ALDH2_HUMAN;;Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2;517;56345.626;22.05;8;135398;127186;124398;119582;120271;121785
C8Z9H5_YEAS8;;Bgl2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_6227g PE=3 SV=1;313;34097.237;22.04;7;497248;519944;525145;235743;241215;240490
ARL8B_HUMAN;;ADP-ribosylation factor-like protein 8B OS=Homo sapiens OX=9606 GN=ARL8B PE=1 SV=1;186;21525.142;22.04;4;72453;98233;88583;98653;105807;100255
POXB_ECOLI;;Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) OX=83333 GN=poxB PE=1 SV=1;572;61971.562;22.03;8;19822;25933;25942;213943;185847;238125
GSTM1_HUMAN;;Glutathione S-transferase Mu 1 OS=Homo sapiens OX=9606 GN=GSTM1 PE=1 SV=3;218;25695.054;22.02;4;25010;28275;23109;46830;16157;15118
C8ZE78_YEAS8;;Tubulin alpha chain OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_0089g PE=3 SV=1;445;49662.455;22.02;6;34329;43794;34617;34354;32309;35748
TRPA_ECOLI;;Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) OX=83333 GN=trpA PE=1 SV=1;268;28706.041;22.01;3;0;0;0;45837;52974;37118
YECC_ECOLI;;L-cystine transport system ATP-binding protein YecC OS=Escherichia coli (strain K12) OX=83333 GN=yecC PE=3 SV=2;250;27659.908;22.0;2;2911;3500;2944;17232;18580;18607
C8ZBZ3_YEAS8;;Fas1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_0408g PE=4 SV=1;2051;228505.277;21.99;34;1306684;1240948;1189225;505229;493010;457258
C8ZFS9_YEAS8;;Lys9p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N18_0969g PE=4 SV=1;446;48933.04;21.97;6;204934;180733;201167;65399;57120;56643
C8Z4K3_YEAS8;;Isocitrate dehydrogenase [NADP] OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_1629g PE=3 SV=1;428;48160.044;21.96;7;59028;58795;61699;7938;16021;12747
CATE_ECOLI;;Catalase HPII OS=Escherichia coli (strain K12) OX=83333 GN=katE PE=1 SV=1;753;84110.436;21.91;13;70728;84455;79613;462480;478485;433778
PSMD7_HUMAN;;26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2;324;37002.497;21.91;6;215139;217681;201168;200767;206298;207269
C8Z4C1_YEAS8;C8Z4C1_YEAS8 D3UF51_YEAS8;Rps14ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1C17_1123g PE=3 SV=1;137;14527.707;21.9;3;325351;298842;292963;183283;190550;176580
PABP4_HUMAN;;Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1;644;70738.091;21.89;12;325043;232444;233529;170610;329316;353865
RL21_HUMAN;;60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2;160;18553.061;21.88;4;516646;502036;493659;526035;520761;533069
PSMA8_HUMAN;;Proteasome subunit alpha-type 8 OS=Homo sapiens OX=9606 GN=PSMA8 PE=2 SV=3;256;28512.123;21.88;3;228358;198888;200179;68736;70037;60520
C8ZIR3_YEAS8;;Idi1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_1805g PE=4 SV=1;288;33330.275;21.88;3;147145;133197;140081;65286;64461;64328
AL3A2_HUMAN;;Fatty aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1;485;54812.887;21.86;10;446505;474617;465749;397356;357470;445316
RAB18_HUMAN;;Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1;206;22962.638;21.84;3;70887;64722;70345;47938;41618;41295
SYVC_HUMAN;;Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS PE=1 SV=4;1264;140387.374;21.84;20;545550;575667;594844;546154;522279;546380
C8ZE74_YEAS8;;Msc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_0045g PE=4 SV=1;513;59578.809;21.83;11;372746;347890;353429;98059;101540;112340
LYRIC_HUMAN;;Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2;582;63798.812;21.82;9;244752;239895;226541;221007;216304;227888
VPS35_HUMAN;;Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2;796;91648.932;21.73;12;153475;124061;128640;122347;154894;135610
DHPR_HUMAN;;Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2;244;25773.028;21.72;3;55990;52928;61172;51796;48202;51595
HFLK_ECOLI;;Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) OX=83333 GN=hflK PE=1 SV=1;419;45517.091;21.72;6;34856;33031;23502;243579;262588;235695
THIK_HUMAN;;3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2;424;44263.855;21.7;5;82803;89554;85067;80559;79410;80776
HEBP1_HUMAN;;Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;189;21083.522;21.69;3;51208;51941;53433;42562;47362;39759
K1C9_HUMAN;;Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;623;62026.815;21.67;8;171129;168611;148299;141640;187801;182169
I2BP2_HUMAN;;Interferon regulatory factor 2-binding protein 2 OS=Homo sapiens OX=9606 GN=IRF2BP2 PE=1 SV=2;587;60986.658;21.64;6;165995;164057;167849;185940;116343;168684
RFC3_HUMAN;;Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2;356;40529.866;21.63;5;132674;86383;94433;123032;132390;141449
RAB6B_HUMAN;;Ras-related protein Rab-6B OS=Homo sapiens OX=9606 GN=RAB6B PE=1 SV=1;208;23446.873;21.63;3;21729;19723;21133;18236;17599;0
HTSF1_HUMAN;;HIV Tat-specific factor 1 OS=Homo sapiens OX=9606 GN=HTATSF1 PE=1 SV=1;755;85800.561;21.59;9;173343;201240;191871;183773;193544;193294
CNN3_HUMAN;;Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1;329;36390.784;21.58;5;81885;90305;85910;75462;49711;64560
C8ZFC6_YEAS8;;Tif11p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_4665g PE=3 SV=1;153;17424.372;21.57;3;164317;154684;156279;87567;89801;102311
FAF2_HUMAN;;FAS-associated factor 2 OS=Homo sapiens OX=9606 GN=FAF2 PE=1 SV=2;445;52590.546;21.57;6;209028;225174;227872;212075;248265;230777
PCH2_HUMAN;;Pachytene checkpoint protein 2 homolog OS=Homo sapiens OX=9606 GN=TRIP13 PE=1 SV=2;432;48520.48;21.53;9;110437;125374;199723;95918;101294;111284
BT3L4_HUMAN;;Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1;158;17260.022;21.52;2;47719;58103;64111;73526;56224;68241
BGAL_ECOLI;;Beta-galactosidase OS=Escherichia coli (strain K12) OX=83333 GN=lacZ PE=1 SV=2;1024;116409.113;21.48;13;161403;107840;115061;683581;607412;616120
D3UEK9_YEAS8;;Transketolase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_2663g PE=3 SV=1;681;74981.743;21.44;12;759688;742431;711900;611489;664830;613528
YEAD_ECOLI;;Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=yeaD PE=1 SV=2;294;32645.657;21.43;4;78733;77637;84464;492828;495989;494163
YQGE_ECOLI;;UPF0301 protein YqgE OS=Escherichia coli (strain K12) OX=83333 GN=yqgE PE=1 SV=1;187;20672.818;21.39;2;5219;6013;6504;28353;34495;35004
PHF6_HUMAN;;PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1;365;41263.968;21.37;5;116307;106644;130716;128989;124350;139664
C8ZIS4_YEAS8;;Sse1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_1926g PE=3 SV=1;693;77294.466;21.36;11;660594;516667;529805;238496;256977;272076
C8Z545_YEAS8;;Sac6p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_3851g PE=4 SV=1;642;71728.445;21.34;9;202677;201876;213971;88224;71213;85954
ENAH_HUMAN;;Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;591;66469.895;21.32;6;122738;130300;136198;130517;129933;124210
PSB7_HUMAN;;Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1;277;29946.227;21.3;4;224073;229431;225968;236439;224736;229771
SNF5_HUMAN;;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens OX=9606 GN=SMARCB1 PE=1 SV=2;385;44113.178;21.3;5;82398;73420;87981;63256;43570;60656
GRSF1_HUMAN;;G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3;480;53092.641;21.25;7;261724;282273;319474;291504;301665;314385
DDX46_HUMAN;;Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2;1031;117289.504;21.24;18;416225;437913;381872;406246;346699;360030
CPSF7_HUMAN;;Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1;471;52018.282;21.23;7;182523;193903;164735;164978;178096;163821
VATG1_HUMAN;;V-type proton ATPase subunit G 1 OS=Homo sapiens OX=9606 GN=ATP6V1G1 PE=1 SV=3;118;13749.083;21.19;2;46746;54569;33967;49118;54620;55343
CSDE1_HUMAN;;Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2;798;88828.872;21.18;14;334065;331583;374026;356737;343026;348025
YDCL_ECOLI;;Uncharacterized lipoprotein YdcL OS=Escherichia coli (strain K12) OX=83333 GN=ydcL PE=3 SV=1;222;24411.498;21.17;3;5478;7351;7514;38694;37638;45293
GSTO1_HUMAN;;Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2;241;27548.038;21.16;5;186485;177590;179347;172204;140502;185985
GSTB_ECOLI;;Glutathione S-transferase GstB OS=Escherichia coli (strain K12) OX=83333 GN=gstB PE=1 SV=1;208;23698.176;21.15;3;11516;12151;11571;69115;58083;53608
RAB31_HUMAN;;Ras-related protein Rab-31 OS=Homo sapiens OX=9606 GN=RAB31 PE=1 SV=1;194;21554.912;21.13;3;82880;89896;89179;77924;83283;64364
RPAC1_HUMAN;;DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1;346;39225.029;21.1;5;111580;116257;112272;117421;116887;108673
PUR4_HUMAN;;Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4;1338;144642.89;21.08;18;882416;799826;751170;732279;817225;787775
DEK_HUMAN;;Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1;375;42647.92;21.07;8;485738;513779;470553;424368;500847;501441
C8ZIG2_YEAS8;;Sar1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_0639g PE=3 SV=1;190;21423.06;21.05;3;82237;99242;90020;36686;35136;37284
THRC_ECOLI;;Threonine synthase OS=Escherichia coli (strain K12) OX=83333 GN=thrC PE=1 SV=1;428;47084.226;21.03;5;15178;10646;9302;110534;97622;114549
NC2B_HUMAN;;Protein Dr1 OS=Homo sapiens OX=9606 GN=DR1 PE=1 SV=1;176;19431.663;21.02;2;90835;106942;93741;83057;83632;80004
PDE12_HUMAN;;2',5'-phosphodiesterase 12 OS=Homo sapiens OX=9606 GN=PDE12 PE=1 SV=2;609;67308.928;21.02;7;114156;108077;108330;111724;108460;128258
DC1I2_HUMAN;;Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3;638;71412.108;21.0;7;295780;337257;316025;293987;315176;280238
YEHZ_ECOLI;;Glycine betaine-binding protein YehZ OS=Escherichia coli (strain K12) OX=83333 GN=yehZ PE=1 SV=1;305;32589.117;20.98;3;8489;9747;11683;81687;79461;85645
YNHG_ECOLI;;Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) OX=83333 GN=ynhG PE=1 SV=1;334;36059.918;20.96;5;23716;20132;22257;117759;128376;116547
MAT2B_HUMAN;;Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens OX=9606 GN=MAT2B PE=1 SV=1;334;37528.176;20.96;5;133943;132462;130525;136326;129426;122769
HMGB1_HUMAN;;High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3;215;24878.161;20.93;6;136036;158341;158764;166233;189784;171296
